melee_player_id,melee_name,rph_player_id,rph_name,confidence,evidence,melee_matches_played,approve
1063,Kat,1894,Kat H,0.857,fuzzy:0.86,104,
1344,FerR,167,Ferr0,0.889,fuzzy:0.89,35,
1582,Mitch_B,190,Mitch,0.909,fuzzy:0.91,31,
1584,Ajpletch,419,Pletch,0.857,fuzzy:0.86,26,y
1465,NaoM,1865,Naomi,0.889,fuzzy:0.89,20,y
1581,bhamann,196,bhamann82,0.875,fuzzy:0.88,16,y
2022,Freaksh0w,27,Freakshow,0.889,fuzzy:0.89,10,y
1662,Will_F,507,Will,0.889,fuzzy:0.89,10,
1951,CheekyNando,243,I&L⟡CheekyNando,0.917,fuzzy:0.92,5,y
2019,NatK,809,Nate K,0.889,fuzzy:0.89,5,y
1591,Scraggyhr,503,Scraggy,0.875,fuzzy:0.88,5,y
2003,DragoniteSimp049,664,DragoniteSIMP,0.897,fuzzy:0.90,2,y
