melee_player_id,melee_name,rph_player_id,rph_name,confidence,evidence,melee_matches_played,approve
1918,oberon125,633,Oberon125,0.95,normalized,32,y
2000,Squeekysheep,493,Squeekysheep,1.0,exact,13,y
1924,Calcas,161,Calcas,1.0,exact,10,y
1978,Chenlee,576,ChenLee,0.95,normalized,10,y
2122,Baconsizzler,425,Baconsizzler,1.0,exact,9,y
1993,Emerson,543,Emerson,1.0,exact,8,y
2136,GeneralAMF14,456,GeneralAMF14,1.0,exact,6,y
2120,Howellatme,459,Howellatme,1.0,exact,6,y
2095,Kruegs,826,Kruegs,1.0,exact,5,y
1923,lumias,44,Lumias,0.95,normalized,5,y
