event_id,platform,season,event_date,store,location,event_name,url,round_number,phase_type
157619,rph,Reign of Jafar Summer 2025,2025-07-12,World Class Cards,"Green Bay, WI",Saturday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/157619,8,RANKED_SINGLE_ELIMINATION
165147,rph,Reign of Jafar Summer 2025,2025-07-19,Screaming Monkey Comics,"Munster, IN",REIGN OF JAFAR Set Championship,https://tcg.ravensburgerplay.com/events/165147,7,RANKED_SINGLE_ELIMINATION
160509,rph,Reign of Jafar Summer 2025,2025-07-27,Campaign Plus,"Burlington, WI ",Sunday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/160509,6,RANKED_SINGLE_ELIMINATION
161822,rph,Reign of Jafar Summer 2025,2025-07-27,Imperial Trading Cards,"Milwaukee, WI",Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/161822,6,RANKED_SINGLE_ELIMINATION
164603,rph,Reign of Jafar Summer 2025,2025-08-10,Fair Game,Downer's Grove,Fair Game Downers Grove Reign of Jafar Set Championship,https://tcg.ravensburgerplay.com/events/164603,6,RANKED_SINGLE_ELIMINATION
169894,rph,Reign of Jafar Summer 2025,2025-08-10,Grognard Games,Batavia,Sunday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/169894,2,SWISS
169894,rph,Reign of Jafar Summer 2025,2025-08-10,Grognard Games,Batavia,Sunday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/169894,3,SWISS
169894,rph,Reign of Jafar Summer 2025,2025-08-10,Grognard Games,Batavia,Sunday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/169894,4,SWISS
171547,rph,Reign of Jafar Summer 2025,2025-08-10,Gauntlet Games,"Bradley, IL",Sunday Afternoon Reign of Jafar - Set Championship,https://tcg.ravensburgerplay.com/events/171547,4,SWISS
207798,rph,Fabled Fall 2025,2025-10-11,Beckett Castle TCG,"Racine, WI",Saturday Afternoon Fabled - Set Championship,https://tcg.ravensburgerplay.com/events/207798,5,RANKED_SINGLE_ELIMINATION
207798,rph,Fabled Fall 2025,2025-10-11,Beckett Castle TCG,"Racine, WI",Saturday Afternoon Fabled - Set Championship,https://tcg.ravensburgerplay.com/events/207798,6,RANKED_SINGLE_ELIMINATION
211745,rph,Fabled Fall 2025,2025-10-26,Forever After,Bartlett,Sunday Afternoon Fabled - Set Championship,https://tcg.ravensburgerplay.com/events/211745,4,RANKED_SINGLE_ELIMINATION
211745,rph,Fabled Fall 2025,2025-10-26,Forever After,Bartlett,Sunday Afternoon Fabled - Set Championship,https://tcg.ravensburgerplay.com/events/211745,5,RANKED_SINGLE_ELIMINATION
211745,rph,Fabled Fall 2025,2025-10-26,Forever After,Bartlett,Sunday Afternoon Fabled - Set Championship,https://tcg.ravensburgerplay.com/events/211745,6,RANKED_SINGLE_ELIMINATION
