melee_player_id,melee_name,rph_player_id,rph_name,confidence,evidence,melee_matches_played,approve
979,jtrino92,,,0.99,manual,45,
862,LoL_ReyRey,,,0.99,manual,38,
889,JMills_LFG,,,0.99,manual,36,
1001,TSS_foxindocs,,,0.99,manual,32,
928,ZainGig,,,0.99,manual,32,
942,LoL_DuhTomas,,,0.99,manual,30,
915,ickytattoo,,,0.99,manual,30,
853,GlizzyHands,,,0.99,manual,29,
1050,LOL_SeanP1,,,0.99,manual,29,
976,JennyJenN,,,0.99,manual,27,
996,TSS_IamsoQT,,,0.99,manual,27,
913,AaronParis,,,0.99,manual,26,
929,RumbleTattoo,,,0.99,manual,25,
931,AmpAmp,,,0.99,manual,24,
905,Druenor,,,0.99,manual,24,
992,TheArchlord,,,0.99,manual,22,
893,TheShadowSlashLFG,,,0.99,manual,22,
1063,Kat,,,0.99,manual,21,
972,SarahLynC,,,0.99,manual,21,
899,shadoaqua,,,0.99,manual,21,
1048,Aero,,,0.99,manual,20,
998,AlecMan93,,,0.99,manual,20,
914,KyleForce35,,,0.99,manual,20,
890,troopercooper,,,0.99,manual,20,
1097,FraZ4,,,0.99,manual,19,
908,Hyraxium,,,0.99,manual,19,
900,MatB121,,,0.99,manual,19,
1144,buddy9999,,,0.99,manual,19,
963,its_nickeless,,,0.99,manual,19,
854,manunitedfanz15,,,0.99,manual,19,
1041,Ndsim1,,,0.99,manual,18,
907,Quio,,,0.99,manual,18,
1107,Yoshipked,,,0.99,manual,18,
1195,AleB89,,,0.99,manual,17,
891,LoboMaloLFG,,,0.99,manual,17,
964,ZacN4,,,0.99,manual,17,
945,nightmare97,,,0.99,manual,17,
997,OngV,,,0.99,manual,16,
1201,Ryguy2228,,,0.99,manual,16,
977,ZackH95,,,0.99,manual,16,
932,ifoundmollie,,,0.99,manual,16,
1128,DannyNguyen_LFG,,,0.99,manual,15,
1019,Jrguez86,,,0.99,manual,15,
912,QueenGambit007,,,0.99,manual,15,
902,Truo0412,,,0.99,manual,15,
887,Andii05,,,0.99,manual,14,
954,AntK4,,,0.99,manual,14,
940,Jail42,,,0.99,manual,14,
1094,Mpolheber,,,0.99,manual,14,
898,Shawn-Tang,,,0.99,manual,14,
1106,poodlepuff,,,0.99,manual,14,
1104,Buckets,,,0.99,manual,13,
1075,Fishman6007,,,0.99,manual,13,
946,Kebbin,,,0.99,manual,13,
955,Mycity,,,0.99,manual,13,
906,RutD,,,0.99,manual,13,
868,Tabo4life,,,0.99,manual,13,
1061,abrm1,,,0.99,manual,13,
923,ausb1,,,0.99,manual,13,
1056,BigEvil1624,,,0.99,manual,12,
903,Daisy0102,,,0.99,manual,12,
1080,DsnyLvr0814,,,0.99,manual,12,
1267,God_For_Real_For_Real,,,0.99,manual,12,
1057,Jerryg,,,0.99,manual,12,
1059,Jthd35,,,0.99,manual,12,
848,RJCarrot,,,0.99,manual,12,
896,brothelMHB,,,0.99,manual,12,
1036,Agile_Singer,,,0.99,manual,11,
1014,Brotides,,,0.99,manual,11,
1070,HarrisonMD,,,0.99,manual,11,
1054,LoL_Adam,,,0.99,manual,11,
1169,Remy22,,,0.99,manual,11,
951,Soaringstarl,,,0.99,manual,11,
1109,SparkleShot,,,0.99,manual,11,
925,TimW12,,,0.99,manual,11,
1098,TimmyB113,,,0.99,manual,11,
1174,Tito2102,,,0.99,manual,11,
1007,Visionary,,,0.99,manual,11,
1020,et1et,,,0.99,manual,11,
1034,BriannaF2001,,,0.99,manual,10,
1200,Coltrain,,,0.99,manual,10,
1151,Coz_20,,,0.99,manual,10,
987,GregGG,,,0.99,manual,10,
1209,Klaverklave,,,0.99,manual,10,
1058,jfuss04,,,0.99,manual,10,
1015,AggroGhost,,,0.99,manual,9,
1068,AndH7,,,0.99,manual,9,
1072,BriT17,,,0.99,manual,9,
1148,Cozstina22,,,0.99,manual,9,
967,GabC6,,,0.99,manual,9,
920,Jsolis28,,,0.99,manual,9,
1037,LeeC1,,,0.99,manual,9,
1025,LucO3,,,0.99,manual,9,
1011,Mandy15,,,0.99,manual,9,
1205,Schwanns,,,0.99,manual,9,
1154,ScottW,,,0.99,manual,9,
921,Swervo11,,,0.99,manual,9,
1216,TylR7,,,0.99,manual,9,
989,Ven0m1,,,0.99,manual,9,
1265,janalynnwong,,,0.99,manual,9,
1183,sly741x,,,0.99,manual,9,
1206,AnnieShoes,,,0.99,manual,8,
962,CarA4,,,0.99,manual,8,
1043,DanA36,,,0.99,manual,8,
1139,Doctor_Hauge,,,0.99,manual,8,
1157,Goose1503,,,0.99,manual,8,
1012,IconicDisaster,,,0.99,manual,8,
849,Kmbaldau,,,0.99,manual,8,
1123,LB_Holyghost5514,,,0.99,manual,8,
851,LuiE1,,,0.99,manual,8,
888,PumpkinKing,,,0.99,manual,8,
1035,RKroken,,,0.99,manual,8,
1172,Rob1n,,,0.99,manual,8,
1093,SteR6,,,0.99,manual,8,
1182,ahend,,,0.99,manual,8,
1013,alyssajgeibel,,,0.99,manual,8,
1021,themadsquirr3l,,,0.99,manual,8,
1252,AdaC9,,,0.99,manual,7,
1181,BenG16,,,0.99,manual,7,
1031,ChrA29,,,0.99,manual,7,
1232,JulH18,,,0.99,manual,7,
1191,Khlaarel,,,0.99,manual,7,
1026,Kuyperka06,,,0.99,manual,7,
968,mimcinty12,,,0.99,manual,7,
1254,BradBrown,,,0.99,manual,6,
1113,CentralHawk,,,0.99,manual,6,
1273,DavF2,,,0.99,manual,6,
1008,Heyzeusvee,,,0.99,manual,6,
1153,Jedi22420,,,0.99,manual,6,
1185,Jingerbeardman,,,0.99,manual,6,
1044,Lotusruby,,,0.99,manual,6,
1256,MicB9,,,0.99,manual,6,
1124,Millz36,,,0.99,manual,6,
1078,Misner,,,0.99,manual,6,
1187,NatS14,,,0.99,manual,6,
975,Screwtherulez,,,0.99,manual,6,
894,Slicer22,,,0.99,manual,6,
1189,lmir3l3s,,,0.99,manual,6,
875,theprincessevelyn,,,0.99,manual,6,
1194,AmaR7,,,0.99,manual,5,
917,Catsandra14,,,0.99,manual,5,
850,Deathtyrant669,,,0.99,manual,5,
1272,DiscoTrapLord,,,0.99,manual,5,
1282,Flying_Carpet,,,0.99,manual,5,
1117,GidH,,,0.99,manual,5,
1071,HerL4,,,0.99,manual,5,
1274,JDragon2250,,,0.99,manual,5,
952,Jakobi,,,0.99,manual,5,
1118,JasB12,,,0.99,manual,5,
1138,JefG3,,,0.99,manual,5,
1224,Jottootts,,,0.99,manual,5,
1051,Kanaan,,,0.99,manual,5,
1170,LauraG,,,0.99,manual,5,
1126,LauraHoekstra,,,0.99,manual,5,
1111,LucL5,,,0.99,manual,5,
846,MarcP,,,0.99,manual,5,
953,Mayn,,,0.99,manual,5,
982,OmaL1,,,0.99,manual,5,
1233,Owen1961,,,0.99,manual,5,
1269,RamA,,,0.99,manual,5,
916,RaymondM694201,,,0.99,manual,5,
1193,Rlopez36658,,,0.99,manual,5,
1152,Shadows_in_darkness,,,0.99,manual,5,
1120,ZacM4,,,0.99,manual,5,
1292,bjerger1,,,0.99,manual,5,
1192,linglingonepiece,,,0.99,manual,5,
990,mozamat1,,,0.99,manual,5,
1046,sbeitzel11,,,0.99,manual,5,
