db_player_id,current_db_name,candidate_new_name,evidence_count,total_db_matches,evidence_events,approve
136,LoL_METALLICFLARE,METALLICFLARE,191,192,e157609/R15043/T3; e157609/R15044/T8; e157609/R15045/T5,
5,SHIFT foxindocs,𝙎𝙃𝙄𝙁𝙏 foxindocs,125,125,e161783/R24922/T-1; e161783/R24923/T1; e161783/R24924/T1,y
437,LoL Sean (L.A.B),Sean (L.A.B),121,122,e157609/R15043/T4; e157609/R15044/T7; e157609/R15045/T6,y
182,SBC_RamenShop,LoL_RamenShop,91,91,e159335/R23119/T8; e159335/R23120/T4; e159335/R23121/T2,y
125,Shakiki🦁,LoL Shakiki🦁,71,71,e157786/R25087/T11; e157786/R25088/T9; e157786/R25089/T9,y
131,Rumble 🦁,LoL Rumble 🦁,56,56,e157786/R25087/T3; e157786/R25088/T6; e157786/R25089/T2,y
220,Luchee Bandz,2INK,54,54,e157786/R25087/T6; e157786/R25088/T2; e157786/R25089/T8,y
3,Gnosis 🛸,🛸 𝙎𝙃𝙄𝙁𝙏  Gnosis,52,52,e196598/R99132/T8; e196598/R99133/T8; e196598/R99134/T8,
183,LoL Julien,_juli3n_,51,51,e160957/R24635/T9; e160957/R24636/T6; e160957/R24637/T4,y
344,BellesCastle,BellesCastle🥀,40,40,e159335/R23119/T5; e159335/R23120/T2; e159335/R23121/T6,y
409,nadaclu,lol ♡ nadaclu,35,35,e198492/R123984/T4; e198492/R123985/T4; e198492/R123986/T2,y
745,hateeveryone,♠️ ACE ♠️,27,27,e159597/R47878/T6; e159597/R47879/T-1; e159597/R47880/T5,y
2462,LoL METALLICFLARE,METALLICFLARE,23,23,e494213/R948463/T3; e494213/R948464/T1; e494213/R948465/T2,
816,Kate E.,Tator,17,17,e319804/R375519/T3; e319804/R375520/T4; e319804/R375521/T4,y
791,Ethan S,Edog,15,15,e289893/R347737/T4; e289893/R347738/T5; e289893/R347739/T3,y
960,Hunkules,LFG_Hunkules,13,0,e416453/R651190/T4; e416453/R651191/T5; e416453/R651192/T-1,
330,synaptic,I&L✧Synaptic,13,13,e198214/R111502/T7; e198214/R111503/T6; e198214/R111504/T8,y
2347,Stacey H,Stacey H 🇺🇸,11,11,e202598/R100786/T1; e202598/R100787/T2; e202598/R100788/T4,y
1860,theestallion,Dangeraffe,11,11,e372708/R646355/T6; e372708/R646356/T6; e372708/R646357/T6,y
124,Luis Cardenas,Portero_01,10,10,e196598/R99132/T10; e196598/R99133/T4; e196598/R99134/T7,y
420,User23132,ScaryThePirate,10,10,e212220/R124308/T1; e212220/R124309/T2; e212220/R124310/T2,y
533,Diablo,Ben Gibson,7,7,e160819/R17455/T4; e160819/R17456/T6; e160819/R17457/T4,y
950,boomsplosion,Matthew,7,0,e401525/R721994/T2; e401525/R721995/T5; e401525/R721996/T5,
2375,Nick H,Roflberry,6,6,e492355/R674515/T3; e492355/R674516/T1; e492355/R674517/T1,y
1873,H&B f1st3r56,F1ST3R56,5,5,e387810/R646846/T1; e387810/R646847/T2; e387810/R646848/T1,y
329,boomsplosion,Matthew,5,5,e198214/R111502/T6; e198214/R111503/T7; e198214/R111504/T4,
2410,Calyx,Josh,4,9,e394995/R679478/T4; e394995/R679479/T6; e394995/R679480/T6,
739,Mysticowl,Wallflowersong,4,4,e175751/R47669/T1; e175751/R47670/T5; e175751/R47671/T7,y
622,User39622,LeiDeVorah10,4,4,e160509/R31303/T1; e160509/R31304/T6; e160509/R31305/T-1,y
2492,𝙎𝙃𝙄𝙁𝙏  Gnosis 🛸,🛸 𝙎𝙃𝙄𝙁𝙏  Gnosis,4,4,e512577/R948437/T2; e512577/R948438/T3; e512577/R948439/T6,
779,Hunkules,LFG_Hunkules,3,3,e311535/R386038/T3; e311535/R386039/T4; e311535/R386040/T3,
2362,Mami L,Mken.422,3,3,e332901/R349778/T4; e332901/R349779/T3; e332901/R349780/T5,y
2480,sully,nemo,3,3,e494213/R948463/T4; e494213/R948464/T5; e494213/R948465/T8,y
136,LoL_METALLICFLARE,Eric B,2,192,e387427/R730843/T-1; e387427/R730985/T-1,
